topic,term,weight
000,zoom,0.051151056
000,lecture,0.07314345
000,ess,0.01960335
000,watch,0.021558508
000,recording,0.01710986
000,tomorrow,0.025745636
000,join,0.014100493
000,password,0.014304309
000,link,0.01275318
000,email,0.01406716
001,test,0.03927677
001,starter,0.039338145
001,error,0.033768527
001,function,0.030293958
001,case,0.020177135
001,incorrect,0.020033585
001,thoroughness,0.018751116
001,template,0.02161232
001,cond,0.023267705
001,htdf,0.015016821
002,handin,0.061359502
002,file,0.058432043
002,spd,0.052486464
002,submit,0.04292035
002,hand,0.030646916
002,error,0.031959627
002,starter,0.032547176
002,run,0.023799587
002,racket,0.023253882
002,install,0.016313756
003,zoom,0.17294925
003,poll,0.1198973
003,grade,0.08969868
003,question,0.07666406
003,count,0.030290358
003,mark,0.02827126
003,answer,0.027760915
003,email,0.017863719
003,tomorrow,0.025872936
003,affect,0.014708638
004,problem,0.18407251
004,set,0.1657352
004,find,0.06473263
004,submission,0.06394141
004,submit,0.061831277
004,canvas,0.045416392
004,autograder,0.028560504
004,partner,0.023708908
004,solution,0.02203605
004,point,0.018172933
005,lab,0.33775607
005,section,0.04541148
005,htdw,0.040319994
005,include,0.040849276
005,submit,0.04847077
005,bring,0.03587169
005,day,0.030728132
005,submission,0.039035395
005,week,0.020166207
005,wednesday,0.014417287
006,question,0.22689939
006,edx,0.17135882
006,edge,0.09520025
006,answer,0.058273412
006,couldn,0.039882988
006,cond,0.040333804
006,template,0.026817864
006,datum,0.028646814
006,video,0.024789529
006,sign,0.016353283
007,lecture,0.34733626
007,grade,0.23882885
007,tomorrow,0.05881723
007,starter,0.05306592
007,report,0.02224033
007,watch,0.022590961
007,zoom,0.04198894
007,pool,0.015510888
007,todayâ€™s,0.015183499
007,work,0.015604431
008,numb,0.18655339
008,natural,0.16232172
008,integer,0.117292255
008,confuse,0.0658508
008,datum,0.040604558
008,constraint,0.03111697
008,interval,0.028774532
008,string,0.02794748
008,add,0.02644613
008,statement,0.026128158
009,hour,0.41363388
009,office,0.40748525
009,today,0.12494043
009,find,0.042328518
009,instructor,0.011611922
